Account,Video_id,Behavior,Video_Time,CreateDate
S10527122,gzCSV35U5-w,paused,100,"2017-04-26 08:20:37"
S10527122,gzCSV35U5-w,playing,100,"2017-04-26 08:20:38"
S10527122,gzCSV35U5-w,paused,102,"2017-04-26 08:20:40"
S10527122,gzCSV35U5-w,playing,102,"2017-04-26 08:20:42"
S10527122,gzCSV35U5-w,buffering,108,"2017-04-26 08:20:43"
S10527122,gzCSV35U5-w,playing,108,"2017-04-26 08:20:43"
S10527173,gzCSV35U5-w,paused,126,"2017-04-26 08:20:44"
S10527173,gzCSV35U5-w,playing,126,"2017-04-26 08:20:44"
S10527122,gzCSV35U5-w,buffering,114,"2017-04-26 08:20:45"
S10527122,gzCSV35U5-w,playing,114,"2017-04-26 08:20:45"
S10527173,gzCSV35U5-w,paused,112,"2017-04-26 08:20:45"
S10527173,gzCSV35U5-w,playing,112,"2017-04-26 08:20:45"
S10527122,gzCSV35U5-w,buffering,120,"2017-04-26 08:20:46"
S10527173,gzCSV35U5-w,paused,90,"2017-04-26 08:20:46"
S10527122,gzCSV35U5-w,playing,120,"2017-04-26 08:20:46"
S10527173,gzCSV35U5-w,playing,90,"2017-04-26 08:20:46"
S10527122,gzCSV35U5-w,buffering,126,"2017-04-26 08:20:47"
S10527122,gzCSV35U5-w,playing,126,"2017-04-26 08:20:47"
S10527122,gzCSV35U5-w,buffering,132,"2017-04-26 08:20:49"
S10527126,gzCSV35U5-w,buffering,0,"2017-04-26 08:20:50"
S10527122,gzCSV35U5-w,playing,138,"2017-04-26 08:20:50"
S10527126,gzCSV35U5-w,playing,0,"2017-04-26 08:20:51"
S10527122,gzCSV35U5-w,buffering,143,"2017-04-26 08:20:51"
S10527122,gzCSV35U5-w,playing,143,"2017-04-26 08:20:51"
S10527122,gzCSV35U5-w,paused,145,"2017-04-26 08:20:53"
S10527133,gzCSV35U5-w,paused,47,"2017-04-26 08:21:10"
S10527109,gzCSV35U5-w,paused,194,"2017-04-26 08:21:32"
S10527108,gzCSV35U5-w,buffering,0,"2017-04-26 08:21:54"
S10527109,gzCSV35U5-w,playing,195,"2017-04-26 08:21:55"
S10527108,gzCSV35U5-w,playing,0,"2017-04-26 08:21:56"
S10527120,gzCSV35U5-w,paused,611,"2017-04-26 08:21:56"
S10527120,gzCSV35U5-w,playing,611,"2017-04-26 08:21:56"
S10527120,gzCSV35U5-w,paused,625,"2017-04-26 08:21:57"
S10527120,gzCSV35U5-w,playing,625,"2017-04-26 08:21:57"
S10527120,gzCSV35U5-w,paused,644,"2017-04-26 08:21:57"
S10527120,gzCSV35U5-w,playing,644,"2017-04-26 08:21:58"
S10527120,gzCSV35U5-w,paused,652,"2017-04-26 08:21:58"
S10527120,gzCSV35U5-w,playing,653,"2017-04-26 08:21:58"
S10527120,gzCSV35U5-w,paused,660,"2017-04-26 08:21:59"
S10527120,gzCSV35U5-w,playing,660,"2017-04-26 08:21:59"
S10527173,gzCSV35U5-w,paused,681,"2017-04-26 08:21:59"
S10527120,gzCSV35U5-w,paused,667,"2017-04-26 08:21:59"
S10527120,gzCSV35U5-w,playing,667,"2017-04-26 08:21:59"
S10527120,gzCSV35U5-w,paused,678,"2017-04-26 08:21:59"
S10527120,gzCSV35U5-w,playing,678,"2017-04-26 08:22:00"
S10527120,gzCSV35U5-w,paused,678,"2017-04-26 08:22:01"
S10527120,gzCSV35U5-w,playing,678,"2017-04-26 08:22:01"
S10527120,gzCSV35U5-w,paused,679,"2017-04-26 08:22:02"
S10527173,gzCSV35U5-w,playing,682,"2017-04-26 08:22:03"
S10527111,gzCSV35U5-w,buffering,0,"2017-04-26 08:22:16"
S10527111,gzCSV35U5-w,playing,0,"2017-04-26 08:22:16"
S10527108,gzCSV35U5-w,paused,55,"2017-04-26 08:22:19"
S10527108,gzCSV35U5-w,playing,55,"2017-04-26 08:22:19"
S10527133,gzCSV35U5-w,buffering,47,"2017-04-26 08:22:21"
S10527133,gzCSV35U5-w,paused,47,"2017-04-26 08:22:22"
S10527105,f-6ssLmmz64,buffering,0,"2017-04-26 08:22:23"
S10527105,f-6ssLmmz64,playing,0,"2017-04-26 08:22:25"
S10527108,gzCSV35U5-w,paused,69,"2017-04-26 08:22:27"
S10527133,gzCSV35U5-w,playing,47,"2017-04-26 08:22:29"
S10527111,gzCSV35U5-w,paused,29,"2017-04-26 08:22:35"
S10527111,gzCSV35U5-w,playing,29,"2017-04-26 08:22:35"
S10527111,gzCSV35U5-w,paused,40,"2017-04-26 08:22:35"
S10527111,gzCSV35U5-w,playing,40,"2017-04-26 08:22:36"
S10527111,gzCSV35U5-w,paused,48,"2017-04-26 08:22:36"
S10527111,gzCSV35U5-w,playing,48,"2017-04-26 08:22:36"
S10527111,gzCSV35U5-w,paused,57,"2017-04-26 08:22:37"
S10527111,gzCSV35U5-w,playing,57,"2017-04-26 08:22:37"
S10527111,gzCSV35U5-w,paused,72,"2017-04-26 08:22:40"
S10527111,gzCSV35U5-w,playing,72,"2017-04-26 08:22:40"
S10527122,gzCSV35U5-w,playing,145,"2017-04-26 08:22:42"
S10527105,f-6ssLmmz64,paused,34,"2017-04-26 08:22:42"
S10527105,f-6ssLmmz64,playing,34,"2017-04-26 08:22:42"
S10527108,gzCSV35U5-w,playing,70,"2017-04-26 08:22:43"
S10527122,gzCSV35U5-w,paused,185,"2017-04-26 08:22:43"
S10527122,gzCSV35U5-w,buffering,185,"2017-04-26 08:22:44"
S10527122,gzCSV35U5-w,playing,185,"2017-04-26 08:22:44"
S10527111,gzCSV35U5-w,paused,76,"2017-04-26 08:22:44"
S10527122,gzCSV35U5-w,paused,163,"2017-04-26 08:22:45"
S10527122,gzCSV35U5-w,buffering,163,"2017-04-26 08:22:45"
S10527122,gzCSV35U5-w,playing,163,"2017-04-26 08:22:45"
S10527111,gzCSV35U5-w,playing,76,"2017-04-26 08:22:47"
