Account,Behavior,Video_Time,CreateDate
S10527105,playing,95,"2017-04-26 08:23:23"
S10527120,playing,1005,"2017-04-26 08:23:24"
S10527120,paused,998,"2017-04-26 08:23:24"
S10527120,playing,998,"2017-04-26 08:23:24"
S10527120,paused,979,"2017-04-26 08:23:24"
S10527120,playing,979,"2017-04-26 08:23:24"
S10527120,buffering,979,"2017-04-26 08:23:24"
S10527120,playing,979,"2017-04-26 08:23:24"
S10527120,paused,966,"2017-04-26 08:23:25"
S10527120,playing,966,"2017-04-26 08:23:25"
S10527120,paused,936,"2017-04-26 08:23:25"
S10527120,playing,935,"2017-04-26 08:23:25"
S10527120,buffering,935,"2017-04-26 08:23:25"
S10527105,paused,101,"2017-04-26 08:23:25"
S10527120,playing,935,"2017-04-26 08:23:25"
S10527111,paused,113,"2017-04-26 08:23:25"
S10527105,playing,101,"2017-04-26 08:23:25"
S10527109,paused,285,"2017-04-26 08:23:26"
S10527108,buffering,0,"2017-04-26 08:23:27"
S10527133,playing,80,"2017-04-26 08:23:29"
S10527108,playing,0,"2017-04-26 08:23:30"
S10527133,paused,83,"2017-04-26 08:23:32"
S10527105,paused,115,"2017-04-26 08:23:33"
S10527105,playing,115,"2017-04-26 08:23:33"
S10527108,paused,20,"2017-04-26 08:23:33"
S10527108,playing,20,"2017-04-26 08:23:33"
S10527105,paused,121,"2017-04-26 08:23:37"
S10527105,playing,121,"2017-04-26 08:23:38"
S10527105,paused,127,"2017-04-26 08:23:39"
S10527105,playing,127,"2017-04-26 08:23:39"
S10527108,paused,35,"2017-04-26 08:23:41"
S10527105,paused,135,"2017-04-26 08:23:42"
S10527105,playing,135,"2017-04-26 08:23:43"
S10527105,paused,142,"2017-04-26 08:23:44"
S10527105,playing,142,"2017-04-26 08:23:44"
S10527120,paused,937,"2017-04-26 08:23:48"
S10527105,paused,153,"2017-04-26 08:23:48"
S10527120,playing,937,"2017-04-26 08:23:48"
S10527105,playing,153,"2017-04-26 08:23:48"
S10527120,paused,918,"2017-04-26 08:23:51"
S10527120,playing,918,"2017-04-26 08:23:51"
S10527120,playing,918,"2017-04-26 08:23:51"
S10527120,paused,904,"2017-04-26 08:23:52"
